Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s)
Abomasnow;['Grass', 'Ice'];['Snow Warning'];UUBL;90;92;75;92;85;60;[]
Abra;['Psychic'];['Inner Focus', 'Synchronize'];LC;25;20;15;105;55;90;['Kadabra']
Absol;['Dark'];['Pressure', 'Super Luck'];UU;65;130;60;75;60;75;[]
Aerodactyl;['Rock', 'Flying'];['Pressure', 'Rock Head'];OU;80;105;65;60;75;130;[]
Aggron;['Steel', 'Rock'];['Rock Head', 'Sturdy'];UU;70;110;180;60;60;50;[]
Aipom;['Normal'];['Pickup', 'Run Away'];LC;55;70;55;40;55;85;['Ambipom']
Alakazam;['Psychic'];['Inner Focus', 'Synchronize'];UU;55;50;45;135;85;120;[]
Altaria;['Dragon', 'Flying'];['Natural Cure'];UU;75;70;90;70;105;80;[]
Ambipom;['Normal'];['Pickup', 'Technician'];UU;75;100;66;60;66;115;[]
Ampharos;['Electric'];['Static'];NU;90;75;75;115;90;55;[]
Anorith;['Rock', 'Bug'];['Battle Armor'];LC;45;95;50;40;50;75;['Armaldo']
Arbok;['Poison'];['Intimidate', 'Shed Skin'];NU;60;85;69;65;79;80;[]
Arcanine;['Fire'];['Flash Fire', 'Intimidate'];UU;90;110;80;100;80;95;[]
Arceus;['Normal'];['Multitype'];Uber;120;120;120;120;120;120;[]
Ariados;['Bug', 'Poison'];['Insomnia', 'Swarm'];NU;70;90;70;60;60;40;[]
Armaldo;['Rock', 'Bug'];['Battle Armor'];NU;75;125;100;70;80;45;[]
Aron;['Steel', 'Rock'];['Rock Head', 'Sturdy'];LC;50;70;100;40;40;30;['Lairon']
Articuno;['Ice', 'Flying'];['Pressure'];NU;90;85;100;95;125;85;[]
Azelf;['Psychic'];['Levitate'];OU;75;125;70;125;70;115;[]
Azumarill;['Water'];['Huge Power', 'Thick Fat'];UU;100;50;80;50;80;50;[]
Azurill;['Normal'];['Huge Power', 'Thick Fat'];LC;50;20;40;20;40;20;['Marill']
Bagon;['Dragon'];['Rock Head'];LC;45;75;60;40;30;50;['Shelgon']
Baltoy;['Ground', 'Psychic'];['Levitate'];LC;40;40;55;40;70;55;['Claydol']
Banette;['Ghost'];['Frisk', 'Insomnia'];NU;64;115;65;83;63;65;[]
Barboach;['Water', 'Ground'];['Anticipation', 'Oblivious'];LC;50;48;43;46;41;60;['Whiscash']
Bastiodon;['Rock', 'Steel'];['Sturdy'];NU;60;52;168;47;138;30;[]
Bayleef;['Grass'];['Overgrow'];;60;62;80;63;80;60;['Meganium']
Beautifly;['Bug', 'Flying'];['Swarm'];NU;60;70;50;90;50;65;[]
Beedrill;['Bug', 'Poison'];['Swarm'];NU;65;80;40;45;80;75;[]
Beldum;['Steel', 'Psychic'];['Clear Body'];LC;40;55;80;35;60;30;['Metang']
Bellossom;['Grass'];['Chlorophyll'];NU;75;80;85;90;100;50;[]
Bellsprout;['Grass', 'Poison'];['Chlorophyll'];LC;50;75;35;70;30;40;['Weepinbell']
Bibarel;['Normal', 'Water'];['Simple', 'Unaware'];NU;79;85;60;55;60;71;[]
Bidoof;['Normal'];['Simple', 'Unaware'];LC;59;45;40;35;40;31;['Bibarel']
Blastoise;['Water'];['Torrent'];UU;79;83;100;85;105;78;[]
Blaziken;['Fire', 'Fighting'];['Blaze'];UU;80;120;70;110;70;80;[]
Blissey;['Normal'];['Natural Cure', 'Serene Grace'];OU;255;10;10;75;135;55;[]
Bonsly;['Rock'];['Rock Head', 'Sturdy'];LC;50;80;95;10;45;10;['Sudowoodo']
Breloom;['Grass', 'Fighting'];['Effect Spore', 'Poison Heal'];OU;60;130;80;60;60;70;[]
Bronzong;['Steel', 'Psychic'];['Heatproof', 'Levitate'];OU;67;89;116;79;116;33;[]
Bronzor;['Steel', 'Psychic'];['Heatproof', 'Levitate'];LC;57;24;86;24;86;23;['Bronzong']
Budew;['Grass', 'Poison'];['Natural Cure', 'Poison Point'];LC;40;30;35;50;70;55;['Roselia']
Buizel;['Water'];['Swift Swim'];LC;55;65;35;60;30;85;['Floatzel']
