Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s)
Abra;['Psychic'];[];LC;25;20;15;105;105;90;['Kadabra']
Aerodactyl;['Rock', 'Flying'];[];UU;80;105;65;60;60;130;[]
Alakazam;['Psychic'];[];OU;55;50;45;135;135;120;[]
Arbok;['Poison'];[];UU;60;85;69;65;65;80;[]
Arcanine;['Fire'];[];UU;90;110;80;80;80;95;[]
Articuno;['Ice', 'Flying'];[];UU;90;85;100;125;125;85;[]
Beedrill;['Bug', 'Poison'];[];UU;65;80;40;45;45;75;[]
Bellsprout;['Grass', 'Poison'];[];LC;50;75;35;70;70;40;['Weepinbell']
Blastoise;['Water'];[];UU;79;83;100;85;85;78;[]
Bulbasaur;['Grass', 'Poison'];[];LC;45;49;49;65;65;45;['Ivysaur']
Butterfree;['Bug', 'Flying'];[];UU;60;45;50;80;80;70;[]
Caterpie;['Bug'];[];LC;45;30;35;20;20;45;['Metapod']
Chansey;['Normal'];[];OU;250;5;5;105;105;50;[]
Charizard;['Fire', 'Flying'];[];UU;78;84;78;85;85;100;[]
Charmander;['Fire'];[];LC;39;52;43;50;50;65;['Charmeleon']
Charmeleon;['Fire'];[];;58;64;58;65;65;80;['Charizard']
Clefable;['Normal'];[];UU;95;70;73;85;85;60;[]
Clefairy;['Normal'];[];;70;45;48;60;60;35;['Clefable']
Cloyster;['Water', 'Ice'];[];OU;50;95;180;85;85;70;[]
Cubone;['Ground'];[];LC;50;50;95;40;40;35;['Marowak']
Dewgong;['Water', 'Ice'];[];UU;90;70;80;95;95;70;[]
Diglett;['Ground'];[];LC;10;55;25;45;45;95;['Dugtrio']
Ditto;['Normal'];[];UU;48;48;48;48;48;48;[]
Dodrio;['Normal', 'Flying'];[];UU;60;110;70;60;60;100;[]
Doduo;['Normal', 'Flying'];[];LC;35;85;45;35;35;75;['Dodrio']
Dragonair;['Dragon'];[];;61;84;65;70;70;70;['Dragonite']
Dragonite;['Dragon', 'Flying'];[];UU;91;134;95;100;100;80;[]
Dratini;['Dragon'];[];LC;41;64;45;50;50;50;['Dragonair']
Drowzee;['Psychic'];[];LC;60;48;45;90;90;42;['Hypno']
Dugtrio;['Ground'];[];UU;35;80;50;70;70;120;[]
Eevee;['Normal'];[];LC;55;55;50;65;65;55;['Flareon', 'Jolteon', 'Vaporeon']
Ekans;['Poison'];[];LC;35;60;44;40;40;55;['Arbok']
Electabuzz;['Electric'];[];UU;65;83;57;85;85;105;[]
Electrode;['Electric'];[];UU;60;50;70;80;80;140;[]
Exeggcute;['Grass', 'Psychic'];[];LC;60;40;80;60;60;40;['Exeggutor']
Exeggutor;['Grass', 'Psychic'];[];OU;95;95;85;125;125;55;[]
Farfetch'd;['Normal', 'Flying'];[];UU;52;65;55;58;58;60;[]
Fearow;['Normal', 'Flying'];[];UU;65;90;65;61;61;100;[]
Flareon;['Fire'];[];UU;65;130;60;110;110;65;[]
Gastly;['Ghost', 'Poison'];[];LC;30;35;30;100;100;80;['Haunter']
Gengar;['Ghost', 'Poison'];[];OU;60;65;60;130;130;110;[]
