Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s)
Abra;['Psychic'];['Inner Focus', 'Synchronize'];NU;25;20;15;105;55;90;['Kadabra']
Absol;['Dark'];['Pressure'];UU;65;130;60;75;60;75;[]
Aerodactyl;['Rock', 'Flying'];['Pressure', 'Rock Head'];OU;80;105;65;60;75;130;[]
Aggron;['Steel', 'Rock'];['Rock Head', 'Sturdy'];UU;70;110;180;60;60;50;[]
Aipom;['Normal'];['Pickup', 'Run Away'];NU;55;70;55;40;55;85;[]
Alakazam;['Psychic'];['Inner Focus', 'Synchronize'];UUBL;55;50;45;135;85;120;[]
Altaria;['Dragon', 'Flying'];['Natural Cure'];UU;75;70;90;70;105;80;[]
Ampharos;['Electric'];['Static'];UU;90;75;75;115;90;55;[]
Anorith;['Rock', 'Bug'];['Battle Armor'];NU;45;95;50;40;50;75;['Armaldo']
Arbok;['Poison'];['Intimidate', 'Shed Skin'];NU;60;85;69;65;79;80;[]
Arcanine;['Fire'];['Flash Fire', 'Intimidate'];UUBL;90;110;80;100;80;95;[]
Ariados;['Bug', 'Poison'];['Insomnia', 'Swarm'];NU;70;90;70;60;60;40;[]
Armaldo;['Rock', 'Bug'];['Battle Armor'];UUBL;75;125;100;70;80;45;[]
Aron;['Steel', 'Rock'];['Rock Head', 'Sturdy'];LC;50;70;100;40;40;30;['Lairon']
Articuno;['Ice', 'Flying'];['Pressure'];UUBL;90;85;100;95;125;85;[]
Azumarill;['Water'];['Huge Power', 'Thick Fat'];UU;100;50;80;50;80;50;[]
Azurill;['Normal'];['Huge Power', 'Thick Fat'];LC;50;20;40;20;40;20;['Marill']
Bagon;['Dragon'];['Rock Head'];LC;45;75;60;40;30;50;['Shelgon']
Baltoy;['Ground', 'Psychic'];['Levitate'];LC;40;40;55;40;70;55;['Claydol']
Banette;['Ghost'];['Insomnia'];UU;64;115;65;83;63;65;[]
Barboach;['Water', 'Ground'];['Oblivious'];LC;50;48;43;46;41;60;['Whiscash']
Bayleef;['Grass'];['Overgrow'];;60;62;80;63;80;60;['Meganium']
Beautifly;['Bug', 'Flying'];['Swarm'];NU;60;70;50;90;50;65;[]
Beedrill;['Bug', 'Poison'];['Swarm'];NU;65;80;40;45;80;75;[]
Beldum;['Steel', 'Psychic'];['Clear Body'];LC;40;55;80;35;60;30;['Metang']
Bellossom;['Grass'];['Chlorophyll'];NU;75;80;85;90;100;50;[]
Bellsprout;['Grass', 'Poison'];['Chlorophyll'];LC;50;75;35;70;30;40;['Weepinbell']
Blastoise;['Water'];['Torrent'];UU;79;83;100;85;105;78;[]
Blaziken;['Fire', 'Fighting'];['Blaze'];UUBL;80;120;70;110;70;80;[]
Blissey;['Normal'];['Natural Cure', 'Serene Grace'];OU;255;10;10;75;135;55;[]
Breloom;['Grass', 'Fighting'];['Effect Spore'];UUBL;60;130;80;60;60;70;[]
Bulbasaur;['Grass', 'Poison'];['Overgrow'];LC;45;49;49;65;65;45;['Ivysaur']
Butterfree;['Bug', 'Flying'];['Compound Eyes'];NU;60;45;50;80;80;70;[]
Cacnea;['Grass'];['Sand Veil'];LC;50;85;40;85;40;35;['Cacturne']
Cacturne;['Grass', 'Dark'];['Sand Veil'];NU;70;115;60;115;60;55;[]
Camerupt;['Fire', 'Ground'];['Magma Armor'];UU;70;100;70;105;75;40;[]
Carvanha;['Water', 'Dark'];['Rough Skin'];LC;45;90;20;65;20;65;['Sharpedo']
Cascoon;['Bug'];['Shed Skin'];;50;35;55;25;25;15;['Dustox']
Castform;['Normal'];['Forecast'];NU;70;70;70;70;70;70;[]
Caterpie;['Bug'];['Shield Dust'];LC;45;30;35;20;20;45;['Metapod']
Celebi;['Psychic', 'Grass'];['Natural Cure'];OU;100;100;100;100;100;100;[]
Chansey;['Normal'];['Natural Cure', 'Serene Grace'];UUBL;250;5;5;35;105;50;['Blissey']
Charizard;['Fire', 'Flying'];['Blaze'];UUBL;78;84;78;109;85;100;[]
Charmander;['Fire'];['Blaze'];LC;39;52;43;60;50;65;['Charmeleon']
Charmeleon;['Fire'];['Blaze'];NU;58;64;58;80;65;80;['Charizard']
Chikorita;['Grass'];['Overgrow'];LC;45;49;65;49;65;45;['Bayleef']
Chimecho;['Psychic'];['Levitate'];NU;65;50;70;95;80;65;[]
Chinchou;['Water', 'Electric'];['Illuminate', 'Volt Absorb'];LC;75;38;38;56;56;67;['Lanturn']
Clamperl;['Water'];['Shell Armor'];NU;35;64;85;74;55;32;['Gorebyss', 'Huntail']
Claydol;['Ground', 'Psychic'];['Levitate'];OU;60;70;105;70;120;75;[]
Clefable;['Normal'];['Cute Charm'];UU;95;70;73;85;90;60;[]
Clefairy;['Normal'];['Cute Charm'];;70;45;48;60;65;35;['Clefable']
Cleffa;['Normal'];['Cute Charm'];LC;50;25;28;45;55;15;['Clefairy']
Cloyster;['Water', 'Ice'];['Shell Armor'];OU;50;95;180;85;45;70;[]
Combusken;['Fire', 'Fighting'];['Blaze'];;60;85;60;85;60;55;['Blaziken']
Corphish;['Water'];['Hyper Cutter', 'Shell Armor'];LC;43;80;65;50;35;35;['Crawdaunt']
Corsola;['Water', 'Rock'];['Hustle', 'Natural Cure'];NU;55;55;85;65;85;35;[]
Cradily;['Rock', 'Grass'];['Suction Cups'];UU;86;81;97;81;107;43;[]
Crawdaunt;['Water', 'Dark'];['Hyper Cutter', 'Shell Armor'];NU;63;120;85;90;55;55;[]
Crobat;['Poison', 'Flying'];['Inner Focus'];UUBL;85;90;80;70;80;130;[]
Croconaw;['Water'];['Torrent'];;65;80;80;59;63;58;['Feraligatr']
Cubone;['Ground'];['Lightning Rod', 'Rock Head'];LC;50;50;95;40;50;35;['Marowak']
Cyndaquil;['Fire'];['Blaze'];LC;39;52;43;60;50;65;['Quilava']
Delcatty;['Normal'];['Cute Charm'];NU;70;65;65;55;55;70;[]
Delibird;['Ice', 'Flying'];['Hustle', 'Vital Spirit'];NU;45;55;45;65;45;75;[]
Deoxys;['Psychic'];['Pressure'];Uber;50;150;50;150;50;150;[]
Deoxys-Attack;['Psychic'];['Pressure'];Uber;50;180;20;180;20;150;[]
Deoxys-Defense;['Psychic'];['Pressure'];Uber;50;70;160;70;160;90;[]
Deoxys-Speed;['Psychic'];['Pressure'];Uber;50;95;90;95;90;180;[]
Dewgong;['Water', 'Ice'];['Thick Fat'];NU;90;70;80;70;95;70;[]
Diglett;['Ground'];['Arena Trap', 'Sand Veil'];NU;10;55;25;35;45;95;['Dugtrio']
Ditto;['Normal'];['Limber'];NU;48;48;48;48;48;48;[]
