Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s)
Abomasnow;['Grass', 'Ice'];['Snow Warning', 'Soundproof'];Untiered;90;92;75;92;85;60;[]
Abomasnow-Mega;['Grass', 'Ice'];['Snow Warning'];NU;90;132;105;132;105;30;[]
Abra;['Psychic'];['Inner Focus', 'Magic Guard', 'Synchronize'];LC;25;20;15;105;55;90;['Kadabra']
Absol;['Dark'];['Justified', 'Pressure', 'Super Luck'];PU;65;130;60;75;60;75;[]
Absol-Mega;['Dark'];['Magic Bounce'];RUBL;65;150;60;115;60;115;[]
Accelgor;['Bug'];['Hydration', 'Sticky Hold', 'Unburden'];NU;80;70;40;100;60;145;[]
Aegislash;['Steel', 'Ghost'];['Stance Change'];Uber;60;50;150;50;150;60;[]
Aegislash-Blade;['Steel', 'Ghost'];['Stance Change'];Uber;60;150;50;150;50;60;[]
Aerodactyl;['Rock', 'Flying'];['Pressure', 'Rock Head', 'Unnerve'];NU;80;105;65;60;75;130;[]
Aerodactyl-Mega;['Rock', 'Flying'];['Tough Claws'];UU;80;135;85;70;95;150;[]
Aggron;['Steel', 'Rock'];['Heavy Metal', 'Rock Head', 'Sturdy'];PU;70;110;180;60;60;50;[]
Aggron-Mega;['Steel'];['Filter'];UU;70;140;230;60;80;50;[]
Aipom;['Normal'];['Pickup', 'Run Away', 'Skill Link'];;55;70;55;40;55;85;['Ambipom']
Alakazam;['Psychic'];['Inner Focus', 'Magic Guard', 'Synchronize'];UUBL;55;50;45;135;95;120;[]
Alakazam-Mega;['Psychic'];['Trace'];OU;55;50;65;175;105;150;[]
Alomomola;['Water'];['Healer', 'Hydration', 'Regenerator'];UU;165;75;80;40;45;65;[]
Altaria;['Dragon', 'Flying'];['Cloud Nine', 'Natural Cure'];Untiered;75;70;90;70;105;80;[]
Altaria-Mega;['Dragon', 'Fairy'];['Pixilate'];UU;75;110;110;110;105;80;[]
Amaura;['Rock', 'Ice'];['Refrigerate', 'Snow Warning'];LC;77;59;50;67;63;46;['Aurorus']
Ambipom;['Normal'];['Pickup', 'Skill Link', 'Technician'];NU;75;100;66;60;66;115;[]
Amoonguss;['Grass', 'Poison'];['Effect Spore', 'Regenerator'];UU;114;85;70;85;80;30;[]
Ampharos;['Electric'];['Plus', 'Static'];Untiered;90;75;85;115;90;55;[]
Ampharos-Mega;['Electric', 'Dragon'];['Mold Breaker'];RU;90;95;105;165;110;45;[]
Anorith;['Rock', 'Bug'];['Battle Armor', 'Swift Swim'];LC;45;95;50;40;50;75;['Armaldo']
Araquanid;['Water', 'Bug'];['Water Absorb', 'Water Bubble'];RU;68;70;92;50;132;42;[]
Arbok;['Poison'];['Intimidate', 'Shed Skin', 'Unnerve'];Untiered;60;95;69;65;79;80;[]
Arcanine;['Fire'];['Flash Fire', 'Intimidate', 'Justified'];RU;90;110;80;100;80;95;[]
Arceus;['Normal'];['Multitype'];Uber;120;120;120;120;120;120;[]
Archen;['Rock', 'Flying'];['Defeatist'];LC;55;112;45;74;45;70;['Archeops']
Archeops;['Rock', 'Flying'];['Defeatist'];PUBL;75;140;65;112;65;110;[]
Ariados;['Bug', 'Poison'];['Insomnia', 'Sniper', 'Swarm'];Untiered;70;90;70;60;70;40;[]
Armaldo;['Rock', 'Bug'];['Battle Armor', 'Swift Swim'];Untiered;75;125;100;70;80;45;[]
Aromatisse;['Fairy'];['Aroma Veil', 'Healer'];PUBL;101;72;72;99;89;29;[]
Aron;['Steel', 'Rock'];['Heavy Metal', 'Rock Head', 'Sturdy'];LC;50;70;100;40;40;30;['Lairon']
Articuno;['Ice', 'Flying'];['Pressure', 'Snow Cloak'];PU;90;85;100;95;125;85;[]
Audino;['Normal'];['Healer', 'Klutz', 'Regenerator'];PU;103;60;86;60;86;50;[]
Audino-Mega;['Normal', 'Fairy'];['Healer'];NU;103;60;126;80;126;50;[]
Aurorus;['Rock', 'Ice'];['Refrigerate', 'Snow Warning'];PU;123;77;72;99;92;58;[]
Avalugg;['Ice'];['Ice Body', 'Own Tempo', 'Sturdy'];Untiered;95;117;184;44;46;28;[]
Axew;['Dragon'];['Mold Breaker', 'Rivalry', 'Unnerve'];LC;46;87;60;30;40;57;['Fraxure']
Azelf;['Psychic'];['Levitate'];UU;75;125;70;125;70;115;[]
Azumarill;['Water', 'Fairy'];['Huge Power', 'Sap Sipper', 'Thick Fat'];UUBL;100;50;80;60;80;50;[]
Azurill;['Normal', 'Fairy'];['Huge Power', 'Sap Sipper', 'Thick Fat'];LC;50;20;40;20;40;20;['Marill']
Bagon;['Dragon'];['Rock Head', 'Sheer Force'];LC;45;75;60;40;30;50;['Shelgon']
Baltoy;['Ground', 'Psychic'];['Levitate'];LC;40;40;55;40;70;55;['Claydol']
Banette;['Ghost'];['Cursed Body', 'Frisk', 'Insomnia'];Untiered;64;115;65;83;63;65;[]
Banette-Mega;['Ghost'];['Prankster'];RU;64;165;75;93;83;75;[]
Barbaracle;['Rock', 'Water'];['Pickpocket', 'Sniper', 'Tough Claws'];NUBL;72;105;115;54;86;68;[]
Barboach;['Water', 'Ground'];['Anticipation', 'Hydration', 'Oblivious'];LC;50;48;43;46;41;60;['Whiscash']
Basculin;['Water'];['Adaptability', 'Mold Breaker', 'Reckless', 'Rock Head'];Untiered;70;92;65;80;55;98;[]
Bastiodon;['Rock', 'Steel'];['Soundproof', 'Sturdy'];Untiered;60;52;168;47;138;30;[]
Bayleef;['Grass'];['Leaf Guard', 'Overgrow'];;60;62;80;63;80;60;['Meganium']
Beartic;['Ice'];['Slush Rush', 'Snow Cloak', 'Swift Swim'];Untiered;95;130;80;70;80;50;[]
Beautifly;['Bug', 'Flying'];['Rivalry', 'Swarm'];Untiered;60;70;50;100;50;65;[]
Beedrill;['Bug', 'Poison'];['Sniper', 'Swarm'];Untiered;65;90;40;45;80;75;[]
Beedrill-Mega;['Bug', 'Poison'];['Adaptability'];UU;65;150;40;15;80;145;[]
Beheeyem;['Psychic'];['Analytic', 'Synchronize', 'Telepathy'];Untiered;75;75;75;125;95;40;[]
Beldum;['Steel', 'Psychic'];['Clear Body', 'Light Metal'];LC;40;55;80;35;60;30;['Metang']
Bellossom;['Grass'];['Chlorophyll', 'Healer'];Untiered;75;80;95;90;100;50;[]
Bellsprout;['Grass', 'Poison'];['Chlorophyll', 'Gluttony'];LC;50;75;35;70;30;40;['Weepinbell']
Bergmite;['Ice'];['Ice Body', 'Own Tempo', 'Sturdy'];LC;56;69;86;32;36;28;['Avalugg']
Bewear;['Normal', 'Fighting'];['Fluffy', 'Klutz', 'Unnerve'];RU;120;125;80;55;60;60;[]
Bibarel;['Normal', 'Water'];['Moody', 'Simple', 'Unaware'];Untiered;79;85;60;55;60;71;[]
Bidoof;['Normal'];['Moody', 'Simple', 'Unaware'];LC;59;45;40;35;40;31;['Bibarel']
Binacle;['Rock', 'Water'];['Pickpocket', 'Sniper', 'Tough Claws'];LC;42;52;67;39;56;50;['Barbaracle']
Bisharp;['Dark', 'Steel'];['Defiant', 'Inner Focus', 'Pressure'];UU;65;125;100;60;70;70;[]
Blacephalon;['Fire', 'Ghost'];['Beast Boost'];OU;53;127;53;151;79;107;[]
Blastoise;['Water'];['Rain Dish', 'Torrent'];NU;79;83;100;85;105;78;[]
Blastoise-Mega;['Water'];['Mega Launcher'];RU;79;103;120;135;115;78;[]
Blaziken;['Fire', 'Fighting'];['Blaze', 'Speed Boost'];Uber;80;120;70;110;70;80;[]
Blaziken-Mega;['Fire', 'Fighting'];['Speed Boost'];Uber;80;160;80;130;80;100;[]
Blissey;['Normal'];['Healer', 'Natural Cure', 'Serene Grace'];UU;255;10;10;75;135;55;[]
Blitzle;['Electric'];['Lightning Rod', 'Motor Drive', 'Sap Sipper'];LC;45;60;32;50;32;76;['Zebstrika']
Boldore;['Rock'];['Sand Force', 'Sturdy', 'Weak Armor'];;70;105;105;50;40;20;['Gigalith']
Bonsly;['Rock'];['Rattled', 'Rock Head', 'Sturdy'];LC;50;80;95;10;45;10;['Sudowoodo']
Bouffalant;['Normal'];['Reckless', 'Sap Sipper', 'Soundproof'];Untiered;95;110;95;40;95;55;[]
Bounsweet;['Grass'];['Leaf Guard', 'Oblivious', 'Sweet Veil'];LC;42;30;38;30;38;32;['Steenee']
Braixen;['Fire'];['Blaze', 'Magician'];;59;59;58;90;70;73;['Delphox']
Braviary;['Normal', 'Flying'];['Defiant', 'Keen Eye', 'Sheer Force'];NU;100;123;75;57;75;80;[]
Breloom;['Grass', 'Fighting'];['Effect Spore', 'Poison Heal', 'Technician'];UUBL;60;130;80;60;60;70;[]
Brionne;['Water'];['Liquid Voice', 'Torrent'];;60;69;69;91;81;50;['Primarina']
Bronzong;['Steel', 'Psychic'];['Heatproof', 'Heavy Metal', 'Levitate'];RU;67;89;116;79;116;33;[]
Bronzor;['Steel', 'Psychic'];['Heatproof', 'Heavy Metal', 'Levitate'];LC;57;24;86;24;86;23;['Bronzong']
Bruxish;['Water', 'Psychic'];['Dazzling', 'Strong Jaw', 'Wonder Skin'];NUBL;68;105;70;70;70;92;[]
Budew;['Grass', 'Poison'];['Leaf Guard', 'Natural Cure', 'Poison Point'];LC;40;30;35;50;70;55;['Roselia']
Buizel;['Water'];['Swift Swim', 'Water Veil'];LC;55;65;35;60;30;85;['Floatzel']
Bulbasaur;['Grass', 'Poison'];['Chlorophyll', 'Overgrow'];LC;45;49;49;65;65;45;['Ivysaur']
Buneary;['Normal'];['Klutz', 'Limber', 'Run Away'];LC;55;66;44;44;56;85;['Lopunny']
Bunnelby;['Normal'];['Cheek Pouch', 'Huge Power', 'Pickup'];LC;38;36;38;32;36;57;['Diggersby']
Burmy;['Bug'];['Overcoat', 'Shed Skin'];LC;40;29;45;29;45;36;['Mothim', 'Wormadam', 'Wormadam-Sandy', 'Wormadam-Trash']
Butterfree;['Bug', 'Flying'];['Compound Eyes', 'Tinted Lens'];Untiered;60;45;50;90;80;70;[]
Buzzwole;['Bug', 'Fighting'];['Beast Boost'];UUBL;107;139;139;53;53;79;[]
Cacnea;['Grass'];['Sand Veil', 'Water Absorb'];LC;50;85;40;85;40;35;['Cacturne']
Cacturne;['Grass', 'Dark'];['Sand Veil', 'Water Absorb'];Untiered;70;115;60;115;60;55;[]
Camerupt;['Fire', 'Ground'];['Anger Point', 'Magma Armor', 'Solid Rock'];Untiered;70;100;70;105;75;40;[]
Camerupt-Mega;['Fire', 'Ground'];['Sheer Force'];NUBL;70;120;100;145;105;20;[]
Carbink;['Rock', 'Fairy'];['Clear Body', 'Sturdy'];Untiered;50;50;150;50;150;50;[]
Carnivine;['Grass'];['Levitate'];Untiered;74;100;72;90;72;46;[]
Carracosta;['Water', 'Rock'];['Solid Rock', 'Sturdy', 'Swift Swim'];PU;74;108;133;83;65;32;[]
Carvanha;['Water', 'Dark'];['Rough Skin', 'Speed Boost'];LC;45;90;20;65;20;65;['Sharpedo']
Cascoon;['Bug'];['Shed Skin'];;50;35;55;25;25;15;['Dustox']
Castform;['Normal'];['Forecast'];Untiered;70;70;70;70;70;70;[]
Caterpie;['Bug'];['Run Away', 'Shield Dust'];LC;45;30;35;20;20;45;['Metapod']
Celebi;['Psychic', 'Grass'];['Natural Cure'];UU;100;100;100;100;100;100;[]
Celesteela;['Steel', 'Flying'];['Beast Boost'];OU;97;101;103;107;101;61;[]
Chandelure;['Ghost', 'Fire'];['Flame Body', 'Flash Fire', 'Infiltrator'];UU;60;55;90;145;90;80;[]
Chansey;['Normal'];['Healer', 'Natural Cure', 'Serene Grace'];OU;250;5;5;35;105;50;['Blissey']
Charizard;['Fire', 'Flying'];['Blaze', 'Solar Power'];PUBL;78;84;78;109;85;100;[]
Charizard-Mega-X;['Fire', 'Dragon'];['Tough Claws'];OU;78;130;111;130;85;100;[]
Charizard-Mega-Y;['Fire', 'Flying'];['Drought'];OU;78;104;78;159;115;100;[]
Charjabug;['Bug', 'Electric'];['Battery'];;57;82;95;55;75;36;['Vikavolt']
Charmander;['Fire'];['Blaze', 'Solar Power'];LC;39;52;43;60;50;65;['Charmeleon']
Charmeleon;['Fire'];['Blaze', 'Solar Power'];;58;64;58;80;65;80;['Charizard']
Chatot;['Normal', 'Flying'];['Big Pecks', 'Keen Eye', 'Tangled Feet'];Untiered;76;65;45;92;42;91;[]
Cherrim;['Grass'];['Flower Gift'];Untiered;70;60;70;87;78;85;[]
Cherubi;['Grass'];['Chlorophyll'];LC;45;35;45;62;53;35;['Cherrim']
Chesnaught;['Grass', 'Fighting'];['Bulletproof', 'Overgrow'];UU;88;107;122;74;75;64;[]
